,imname,n,row,col,area,mean,max,min
6,mutant_1_117-72.tif,1,0,1,2231,0.36133449345672825,0.44705882352941173,0.27058823529411763
8,mutant_1_117-72.tif,4,0,4,2390,0.36308967101484946,0.4627450980392157,0.2549019607843137
12,mutant_1_117-72.tif,2,0,2,2175,0.35252648185711066,0.4588235294117647,0.2549019607843137
13,mutant_1_117-72.tif,3,0,3,2143,0.3603963657324806,0.4666666666666667,0.2784313725490196
14,mutant_1_117-72.tif,6,0,6,1496,0.35124777183600714,0.4823529411764706,0.2549019607843137
16,mutant_1_117-72.tif,5,0,5,1619,0.3613293124538265,0.4666666666666667,0.2784313725490196
30,mutant_1_117-72.tif,12,1,6,1851,0.3659770553278038,0.47058823529411764,0.27450980392156865
31,mutant_1_117-72.tif,11,1,5,2415,0.36144034425364346,0.47058823529411764,0.27058823529411763
32,mutant_1_117-72.tif,8,1,2,2194,0.35961713764813125,0.44705882352941173,0.2823529411764706
33,mutant_1_117-72.tif,9,1,3,1933,0.35141555846342676,0.4549019607843137,0.26666666666666666
34,mutant_1_117-72.tif,10,1,4,2112,0.36268753713606655,0.4588235294117647,0.28627450980392155
35,mutant_1_117-72.tif,7,1,1,1494,0.32386802110402396,0.44705882352941173,0.21568627450980393
44,mutant_1_117-72.tif,15,2,3,2219,0.3653915825005081,0.4549019607843137,0.2980392156862745
45,mutant_1_117-72.tif,14,2,2,1422,0.32985576790491156,0.44313725490196076,0.23529411764705882
46,mutant_1_117-72.tif,17,2,5,1637,0.3613568579539329,0.4588235294117647,0.28627450980392155
47,mutant_1_117-72.tif,13,2,1,18050,0.33841551246537394,0.45098039215686275,0.22745098039215686
49,mutant_1_117-72.tif,18,2,6,2315,0.35917672468555456,0.4666666666666667,0.27058823529411763
51,mutant_1_117-72.tif,16,2,4,1269,0.3622120242896213,0.4588235294117647,0.2901960784313725
66,mutant_1_117-72.tif,24,3,6,2132,0.35849244012802123,0.4666666666666667,0.2588235294117647
67,mutant_1_117-72.tif,20,3,2,2082,0.3504661807085947,0.4392156862745098,0.27450980392156865
69,mutant_1_117-72.tif,23,3,5,2166,0.35133344196404326,0.44705882352941173,0.27058823529411763
70,mutant_1_117-72.tif,22,3,4,2212,0.35721731730666956,0.44313725490196076,0.27058823529411763
71,mutant_1_117-72.tif,21,3,3,1553,0.3306162645354343,0.4392156862745098,0.24313725490196078
74,mutant_1_117-72.tif,30,4,6,1852,0.3499047135052725,0.44705882352941173,0.24705882352941178
75,mutant_1_117-72.tif,29,4,5,1412,0.36118146975504084,0.44313725490196076,0.2980392156862745
78,mutant_1_117-72.tif,28,4,4,1466,0.3254099456972421,0.44313725490196076,0.21568627450980393
