,imname,n,row,col,area,mean,max,min
1,mutant_1_113-153.tif,4,0,4,2005,0.28718008899320324,0.4745098039215686,0.12156862745098039
2,mutant_1_113-153.tif,1,0,1,1913,0.3030267621946845,0.45098039215686275,0.16078431372549018
3,mutant_1_113-153.tif,2,0,2,1905,0.2729802892285523,0.4549019607843137,0.0980392156862745
4,mutant_1_113-153.tif,3,0,3,1888,0.28422233300099703,0.47843137254901963,0.14509803921568626
5,mutant_1_113-153.tif,6,0,6,1331,0.30206979861817,0.4823529411764706,0.13333333333333333
7,mutant_1_113-153.tif,5,0,5,1324,0.28892245720040277,0.4588235294117647,0.17254901960784313
9,mutant_1_113-153.tif,12,1,6,1627,0.2918664208154067,0.4549019607843137,0.13333333333333333
10,mutant_1_113-153.tif,8,1,2,2072,0.3135437958967371,0.44313725490196076,0.18039215686274512
11,mutant_1_113-153.tif,9,1,3,1694,0.26736115933976895,0.45098039215686275,0.11372549019607843
12,mutant_1_113-153.tif,11,1,5,2061,0.28621362179029786,0.4627450980392157,0.13725490196078433
13,mutant_1_113-153.tif,10,1,4,1771,0.28434583319493806,0.4588235294117647,0.14901960784313725
14,mutant_1_113-153.tif,7,1,1,1360,0.27205882352941174,0.43529411764705883,0.11372549019607843
16,mutant_1_113-153.tif,15,2,3,2095,0.32426599279329865,0.4588235294117647,0.20784313725490194
17,mutant_1_113-153.tif,14,2,2,1310,0.2823798832510103,0.4549019607843137,0.12156862745098039
19,mutant_1_113-153.tif,17,2,5,1461,0.29705412623639466,0.44705882352941173,0.16862745098039217
20,mutant_1_113-153.tif,13,2,1,2023,0.27087125507642507,0.4392156862745098,0.11764705882352941
21,mutant_1_113-153.tif,18,2,6,2035,0.2828751746398805,0.4588235294117647,0.11372549019607843
22,mutant_1_113-153.tif,16,2,4,1129,0.2901300821480053,0.4549019607843137,0.14901960784313725
25,mutant_1_113-153.tif,24,3,6,1836,0.2833653722927079,0.44705882352941173,0.14901960784313725
26,mutant_1_113-153.tif,19,3,1,1287,0.28054908054908057,0.4235294117647058,0.14901960784313725
27,mutant_1_113-153.tif,20,3,2,1720,0.28232558139534886,0.42745098039215684,0.1411764705882353
28,mutant_1_113-153.tif,22,3,4,2066,0.3135223886263121,0.45098039215686275,0.17254901960784313
29,mutant_1_113-153.tif,21,3,3,1369,0.2797863045875764,0.44313725490196076,0.12941176470588234
30,mutant_1_113-153.tif,23,3,5,1858,0.2671162329302011,0.4549019607843137,0.11764705882352941
34,mutant_1_113-153.tif,27,4,3,2173,0.2836956227497902,0.43137254901960786,0.14509803921568626
35,mutant_1_113-153.tif,30,4,6,1581,0.27217323361982365,0.4549019607843137,0.13725490196078433
36,mutant_1_113-153.tif,26,4,2,1730,0.2785605803014848,0.4235294117647058,0.1411764705882353
37,mutant_1_113-153.tif,29,4,5,1408,0.3248774509803921,0.45098039215686275,0.20784313725490194
39,mutant_1_113-153.tif,25,4,1,1849,0.25860507534544375,0.4156862745098039,0.13333333333333333
40,mutant_1_113-153.tif,28,4,4,1353,0.28092691622103383,0.4392156862745098,0.13725490196078433
