,imname,n,row,col,area,mean,max,min
1,mutant_1_117-24.tif,1,0,1,1679,0.4156068621611837,0.6745098039215687,0.22745098039215686
2,mutant_1_117-24.tif,4,0,4,2031,0.4996688581882778,0.7058823529411765,0.30588235294117655
3,mutant_1_117-24.tif,2,0,2,1938,0.5126085108966186,0.6980392156862746,0.32941176470588235
4,mutant_1_117-24.tif,3,0,3,1948,0.4924246084470749,0.7058823529411765,0.24705882352941178
5,mutant_1_117-24.tif,6,0,6,1357,0.4755935093270911,0.7137254901960784,0.2588235294117647
6,mutant_1_117-24.tif,5,0,5,1323,0.5098246706089843,0.7215686274509805,0.3176470588235294
8,mutant_1_117-24.tif,12,1,6,1688,0.45749697983458787,0.7137254901960784,0.23529411764705882
10,mutant_1_117-24.tif,8,1,2,1677,0.42559425678440727,0.6862745098039216,0.23137254901960785
11,mutant_1_117-24.tif,9,1,3,1682,0.4974516798395933,0.7137254901960784,0.30196078431372547
12,mutant_1_117-24.tif,10,1,4,1870,0.44376009227220303,0.7019607843137254,0.24705882352941178
13,mutant_1_117-24.tif,11,1,5,2160,0.46117283950617277,0.7254901960784313,0.2549019607843137
14,mutant_1_117-24.tif,7,1,1,1271,0.4729177272797395,0.6705882352941176,0.30196078431372547
15,mutant_1_117-24.tif,15,2,3,2079,0.43137820784879605,0.7058823529411765,0.23529411764705882
16,mutant_1_117-24.tif,14,2,2,1310,0.44696302948660377,0.6823529411764706,0.24705882352941178
17,mutant_1_117-24.tif,17,2,5,1534,0.43334355906639055,0.6980392156862746,0.22352941176470587
18,mutant_1_117-24.tif,13,2,1,1999,0.4668608814211027,0.6823529411764706,0.27450980392156865
19,mutant_1_117-24.tif,18,2,6,2036,0.4436842713509765,0.6980392156862746,0.2196078431372549
21,mutant_1_117-24.tif,16,2,4,1142,0.4832251639710174,0.7058823529411765,0.3098039215686275
22,mutant_1_117-24.tif,24,3,6,1827,0.4362578747974285,0.6862745098039216,0.24705882352941178
23,mutant_1_117-24.tif,19,3,1,1280,0.4475735294117647,0.6549019607843137,0.26666666666666666
24,mutant_1_117-24.tif,22,3,4,2071,0.4129765860955681,0.6745098039215687,0.2196078431372549
25,mutant_1_117-24.tif,20,3,2,1758,0.42533627785585226,0.6666666666666666,0.2196078431372549
26,mutant_1_117-24.tif,23,3,5,1895,0.4416058771793677,0.6862745098039216,0.2549019607843137
27,mutant_1_117-24.tif,21,3,3,1441,0.40702126791035637,0.6823529411764706,0.20784313725490194
29,mutant_1_117-24.tif,27,4,3,2199,0.4254304541279904,0.6588235294117647,0.23529411764705882
30,mutant_1_117-24.tif,30,4,6,1594,0.4268802125618127,0.6470588235294118,0.2549019607843137
31,mutant_1_117-24.tif,26,4,2,1720,0.42644778841769265,0.6549019607843137,0.2117647058823529
32,mutant_1_117-24.tif,29,4,5,1211,0.3940091643593854,0.6588235294117647,0.21568627450980393
33,mutant_1_117-24.tif,25,4,1,2005,0.3877854383648721,0.6431372549019607,0.22745098039215686
34,mutant_1_117-24.tif,28,4,4,1337,0.417038438412014,0.6588235294117647,0.22745098039215686
