,imname,n,row,col,area,mean,max,min
4,mutant_1_117-48.tif,1,0,1,2026,0.3622128021988657,0.44705882352941173,0.26666666666666666
5,mutant_1_117-48.tif,4,0,4,2224,0.3662822683030047,0.47058823529411764,0.27058823529411763
6,mutant_1_117-48.tif,2,0,2,2014,0.3555172615222852,0.45098039215686275,0.25098039215686274
7,mutant_1_117-48.tif,3,0,3,2007,0.36268159481032075,0.4588235294117647,0.2549019607843137
8,mutant_1_117-48.tif,6,0,6,1432,0.34928524482418666,0.4666666666666667,0.23921568627450981
9,mutant_1_117-48.tif,5,0,5,1547,0.3656716985436709,0.4627450980392157,0.2823529411764706
23,mutant_1_117-48.tif,12,1,6,1729,0.3624037469238708,0.47843137254901963,0.24313725490196078
24,mutant_1_117-48.tif,8,1,2,2045,0.36610192243156436,0.4549019607843137,0.2823529411764706
27,mutant_1_117-48.tif,11,1,5,2273,0.3626355425584224,0.4745098039215686,0.27450980392156865
28,mutant_1_117-48.tif,9,1,3,1809,0.35629911444953877,0.4549019607843137,0.2784313725490196
29,mutant_1_117-48.tif,10,1,4,1962,0.36194359497111783,0.4745098039215686,0.2627450980392157
30,mutant_1_117-48.tif,7,1,1,1407,0.3248101230541968,0.43137254901960786,0.2
43,mutant_1_117-48.tif,15,2,3,2123,0.3742724409594266,0.47058823529411764,0.2901960784313725
44,mutant_1_117-48.tif,14,2,2,1368,0.3279583763329893,0.44313725490196076,0.20392156862745098
47,mutant_1_117-48.tif,13,2,1,2190,0.33202793446145584,0.4549019607843137,0.23137254901960785
48,mutant_1_117-48.tif,17,2,5,1598,0.3661881273160078,0.4666666666666667,0.27450980392156865
49,mutant_1_117-48.tif,18,2,6,2210,0.35938426049152694,0.4627450980392157,0.27058823529411763
51,mutant_1_117-48.tif,16,2,4,1188,0.3650359807222552,0.4588235294117647,0.2784313725490196
57,mutant_1_117-48.tif,19,3,1,7657,0.34431956405390934,0.4392156862745098,0.22352941176470587
58,mutant_1_117-48.tif,24,3,6,2083,0.3623092635998231,0.4901960784313726,0.28627450980392155
60,mutant_1_117-48.tif,20,3,2,1947,0.3513802028258659,0.4392156862745098,0.2627450980392157
61,mutant_1_117-48.tif,22,3,4,2175,0.3645255803470813,0.4549019607843137,0.28627450980392155
62,mutant_1_117-48.tif,21,3,3,1454,0.3293227607411603,0.4392156862745098,0.22352941176470587
63,mutant_1_117-48.tif,23,3,5,2038,0.35301622120879755,0.45098039215686275,0.26666666666666666
70,mutant_1_117-48.tif,27,4,3,2228,0.3444837540042947,0.4549019607843137,0.26666666666666666
71,mutant_1_117-48.tif,30,4,6,1778,0.34986876640419945,0.4588235294117647,0.24313725490196078
73,mutant_1_117-48.tif,29,4,5,1423,0.36866603282212396,0.45098039215686275,0.28627450980392155
75,mutant_1_117-48.tif,28,4,4,1411,0.3328525173357791,0.44313725490196076,0.23529411764705882
