,imname,n,row,col,area,mean,max,min
2,mutant_1_117-96.tif,4,0,4,2516,0.3594282864179058,0.47058823529411764,0.27450980392156865
3,mutant_1_117-96.tif,1,0,1,2392,0.3600318053642862,0.4588235294117647,0.2823529411764706
4,mutant_1_117-96.tif,2,0,2,2164,0.34271682795114355,0.44705882352941173,0.24705882352941178
5,mutant_1_117-96.tif,3,0,3,2220,0.3555149266913973,0.4823529411764706,0.26666666666666666
7,mutant_1_117-96.tif,6,0,6,1568,0.35600240096038416,0.4627450980392157,0.2196078431372549
10,mutant_1_117-96.tif,5,0,5,1717,0.361887469023719,0.4627450980392157,0.23921568627450981
16,mutant_1_117-96.tif,7,1,1,1544,0.3265467845169156,0.4392156862745098,0.21568627450980393
18,mutant_1_117-96.tif,12,1,6,1953,0.364308303966748,0.4627450980392157,0.2823529411764706
23,mutant_1_117-96.tif,8,1,2,2343,0.3609600562376039,0.44705882352941173,0.2941176470588236
25,mutant_1_117-96.tif,9,1,3,1890,0.34288619151364247,0.4666666666666667,0.24313725490196078
26,mutant_1_117-96.tif,10,1,4,2097,0.36083293594023214,0.4627450980392157,0.2784313725490196
27,mutant_1_117-96.tif,11,1,5,2381,0.3587123551646614,0.4666666666666667,0.2784313725490196
34,mutant_1_117-96.tif,15,2,3,2355,0.36940843428666587,0.44705882352941173,0.28627450980392155
35,mutant_1_117-96.tif,14,2,2,1434,0.3316815708152159,0.4392156862745098,0.23137254901960785
37,mutant_1_117-96.tif,13,2,1,2344,0.32762664792879603,0.4392156862745098,0.22745098039215686
39,mutant_1_117-96.tif,17,2,5,1703,0.36629707666977535,0.4588235294117647,0.2823529411764706
40,mutant_1_117-96.tif,18,2,6,2348,0.3566372716037012,0.48627450980392156,0.2588235294117647
43,mutant_1_117-96.tif,16,2,4,1300,0.3576349924585218,0.4549019607843137,0.27058823529411763
48,mutant_1_117-96.tif,19,3,1,8403,0.3384972220472148,0.44313725490196076,0.23921568627450981
55,mutant_1_117-96.tif,24,3,6,2213,0.3541355448641273,0.4549019607843137,0.27450980392156865
56,mutant_1_117-96.tif,20,3,2,2095,0.34982264027329313,0.4392156862745098,0.2784313725490196
57,mutant_1_117-96.tif,22,3,4,2370,0.362313229089104,0.4549019607843137,0.2941176470588236
58,mutant_1_117-96.tif,23,3,5,2249,0.3445086705202312,0.44313725490196076,0.2588235294117647
59,mutant_1_117-96.tif,21,3,3,1566,0.3322865800215361,0.4392156862745098,0.24313725490196078
73,mutant_1_117-96.tif,27,4,3,2450,0.3380424169667867,0.43137254901960786,0.23529411764705882
74,mutant_1_117-96.tif,30,4,6,1916,0.34592697204142614,0.45098039215686275,0.2627450980392157
77,mutant_1_117-96.tif,29,4,5,1624,0.3693760262725781,0.4549019607843137,0.2941176470588236
78,mutant_1_117-96.tif,28,4,4,1495,0.3325962358187422,0.43529411764705883,0.23137254901960785
