,imname,n,row,col,area,mean,max,min
1,mutant_1_117-144.tif,4,0,4,2565,0.5140297366509957,0.7254901960784313,0.2823529411764706
2,mutant_1_117-144.tif,1,0,1,2478,0.49507034452198967,0.6862745098039216,0.2901960784313725
3,mutant_1_117-144.tif,3,0,3,2325,0.5166029938857263,0.7176470588235294,0.32941176470588235
4,mutant_1_117-144.tif,2,0,2,2224,0.5099643814360276,0.7137254901960784,0.3176470588235294
5,mutant_1_117-144.tif,6,0,6,1624,0.5193253163334299,0.7254901960784313,0.33725490196078434
6,mutant_1_117-144.tif,5,0,5,1799,0.5390990637500136,0.7215686274509805,0.34509803921568627
8,mutant_1_117-144.tif,12,1,6,1997,0.503050654412992,0.7058823529411765,0.3098039215686275
9,mutant_1_117-144.tif,8,1,2,2417,0.502578954626948,0.7176470588235294,0.3137254901960784
11,mutant_1_117-144.tif,10,1,4,2092,0.4821092490533498,0.7294117647058824,0.2784313725490196
12,mutant_1_117-144.tif,9,1,3,1985,0.49725885316343166,0.7254901960784313,0.3098039215686275
13,mutant_1_117-144.tif,7,1,1,1575,0.5098188608776844,0.6862745098039216,0.30588235294117655
14,mutant_1_117-144.tif,11,1,5,2540,0.48238227574494363,0.7176470588235294,0.27058823529411763
15,mutant_1_117-144.tif,15,2,3,2549,0.4747544211878552,0.7058823529411765,0.2588235294117647
16,mutant_1_117-144.tif,14,2,2,1509,0.4814875453163373,0.7019607843137254,0.2784313725490196
17,mutant_1_117-144.tif,13,2,1,2463,0.5018556996489216,0.6823529411764706,0.32156862745098036
18,mutant_1_117-144.tif,17,2,5,1717,0.46581474756472185,0.7058823529411765,0.2549019607843137
19,mutant_1_117-144.tif,18,2,6,2395,0.48284416062876095,0.6980392156862746,0.2941176470588236
21,mutant_1_117-144.tif,16,2,4,1293,0.480460397616123,0.7058823529411765,0.2980392156862745
22,mutant_1_117-144.tif,24,3,6,2236,0.4642569013294047,0.6823529411764706,0.2588235294117647
23,mutant_1_117-144.tif,19,3,1,1627,0.4891427745037782,0.6627450980392157,0.2784313725490196
24,mutant_1_117-144.tif,22,3,4,2519,0.4416115950151398,0.6980392156862746,0.22745098039215686
25,mutant_1_117-144.tif,20,3,2,2003,0.4576997249224203,0.6862745098039216,0.25098039215686274
26,mutant_1_117-144.tif,23,3,5,2114,0.4492143877418517,0.6941176470588235,0.26666666666666666
28,mutant_1_117-144.tif,21,3,3,1563,0.428123392671208,0.6941176470588235,0.24313725490196078
29,mutant_1_117-144.tif,27,4,3,2533,0.4529698180101097,0.6666666666666666,0.2784313725490196
30,mutant_1_117-144.tif,29,4,5,1716,0.46709173179761415,0.6784313725490196,0.2784313725490196
31,mutant_1_117-144.tif,30,4,6,2032,0.45988497761309244,0.6666666666666666,0.2941176470588236
32,mutant_1_117-144.tif,26,4,2,2195,0.4588521148778418,0.6549019607843137,0.2823529411764706
33,mutant_1_117-144.tif,25,4,1,2338,0.411568459719217,0.6549019607843137,0.26666666666666666
34,mutant_1_117-144.tif,28,4,4,1567,0.4501920742770625,0.6705882352941176,0.25098039215686274
