,imname,n,row,col,area,mean,max,min
1,mutant_1_113-148.tif,4,0,4,2064,0.2839109287125703,0.45098039215686275,0.14901960784313725
2,mutant_1_113-148.tif,1,0,1,1948,0.2820268148327093,0.43137254901960786,0.12941176470588234
3,mutant_1_113-148.tif,2,0,2,1852,0.271570744928641,0.44705882352941173,0.11372549019607843
4,mutant_1_113-148.tif,3,0,3,1862,0.28044059729154824,0.44313725490196076,0.13725490196078433
5,mutant_1_113-148.tif,6,0,6,1349,0.30032122559920926,0.4627450980392157,0.1568627450980392
7,mutant_1_113-148.tif,5,0,5,1343,0.2838596644912619,0.4627450980392157,0.13333333333333333
8,mutant_1_113-148.tif,12,1,6,1629,0.2848349161641329,0.44705882352941173,0.12941176470588234
9,mutant_1_113-148.tif,8,1,2,2117,0.2966424926134837,0.43137254901960786,0.16078431372549018
10,mutant_1_113-148.tif,9,1,3,1694,0.26187698219783784,0.4392156862745098,0.10588235294117646
11,mutant_1_113-148.tif,10,1,4,1790,0.28058494906342424,0.45098039215686275,0.12549019607843137
12,mutant_1_113-148.tif,11,1,5,2059,0.27586587816282415,0.44705882352941173,0.10980392156862745
13,mutant_1_113-148.tif,7,1,1,1350,0.26771532316630353,0.42745098039215684,0.11764705882352941
15,mutant_1_113-148.tif,14,2,2,1284,0.27424409015942824,0.42745098039215684,0.13333333333333333
16,mutant_1_113-148.tif,15,2,3,2078,0.3083545641548246,0.44705882352941173,0.19215686274509802
18,mutant_1_113-148.tif,13,2,1,2008,0.26828763377861103,0.41176470588235287,0.12549019607843137
19,mutant_1_113-148.tif,17,2,5,1489,0.28428607171545583,0.44313725490196076,0.13725490196078433
20,mutant_1_113-148.tif,18,2,6,2040,0.2748846597462514,0.4392156862745098,0.13333333333333333
21,mutant_1_113-148.tif,16,2,4,1160,0.2880290736984449,0.43529411764705883,0.1568627450980392
23,mutant_1_113-148.tif,24,3,6,1861,0.2773398236242374,0.44313725490196076,0.13725490196078433
24,mutant_1_113-148.tif,19,3,1,1314,0.27060315754916886,0.40784313725490196,0.12549019607843137
25,mutant_1_113-148.tif,20,3,2,1763,0.27217643722264856,0.4156862745098039,0.13725490196078433
26,mutant_1_113-148.tif,22,3,4,2125,0.29918708189158016,0.43529411764705883,0.1568627450980392
27,mutant_1_113-148.tif,23,3,5,1881,0.265359477124183,0.4392156862745098,0.11764705882352941
28,mutant_1_113-148.tif,21,3,3,1378,0.2733373175104584,0.42745098039215684,0.12941176470588234
32,mutant_1_113-148.tif,27,4,3,2096,0.2790637629097441,0.43137254901960786,0.13333333333333333
33,mutant_1_113-148.tif,30,4,6,1612,0.27233250620347393,0.42745098039215684,0.13333333333333333
34,mutant_1_113-148.tif,26,4,2,1732,0.2708237105465742,0.4156862745098039,0.0980392156862745
35,mutant_1_113-148.tif,29,4,5,1398,0.30661449129007823,0.43529411764705883,0.1843137254901961
37,mutant_1_113-148.tif,25,4,1,1923,0.24944276202420645,0.396078431372549,0.11764705882352941
38,mutant_1_113-148.tif,28,4,4,1350,0.2753841684822077,0.42745098039215684,0.14901960784313725
