,imname,n,row,col,area,mean,max,min
1,mutant_1_117-120.tif,1,0,1,2319,0.44547937329308607,0.6470588235294118,0.22352941176470587
2,mutant_1_117-120.tif,4,0,4,2354,0.48788378562979995,0.7019607843137254,0.2549019607843137
3,mutant_1_117-120.tif,3,0,3,2268,0.48418577307466193,0.6980392156862746,0.28627450980392155
4,mutant_1_117-120.tif,2,0,2,2166,0.48056596599858786,0.6705882352941176,0.2941176470588236
5,mutant_1_117-120.tif,6,0,6,1575,0.5016719576719577,0.7372549019607844,0.2980392156862745
6,mutant_1_117-120.tif,5,0,5,1730,0.5165136574861159,0.7137254901960784,0.3137254901960784
8,mutant_1_117-120.tif,8,1,2,2155,0.4430863018061053,0.6784313725490196,0.22352941176470587
9,mutant_1_117-120.tif,12,1,6,1811,0.46990396379424215,0.6784313725490196,0.25098039215686274
11,mutant_1_117-120.tif,10,1,4,2039,0.4532479396859283,0.6941176470588235,0.22745098039215686
12,mutant_1_117-120.tif,9,1,3,1916,0.4814339514511441,0.6941176470588235,0.2941176470588236
13,mutant_1_117-120.tif,11,1,5,2379,0.4436647462684107,0.6862745098039216,0.2196078431372549
14,mutant_1_117-120.tif,7,1,1,1482,0.49407795506866714,0.6666666666666666,0.3176470588235294
15,mutant_1_117-120.tif,15,2,3,2471,0.4425944882202172,0.6784313725490196,0.19215686274509802
16,mutant_1_117-120.tif,14,2,2,1444,0.4651349736570529,0.6823529411764706,0.2588235294117647
17,mutant_1_117-120.tif,13,2,1,2331,0.4847570259334965,0.6588235294117647,0.2549019607843137
18,mutant_1_117-120.tif,17,2,5,1677,0.4503981198919639,0.6823529411764706,0.22745098039215686
19,mutant_1_117-120.tif,18,2,6,2314,0.46365685427152714,0.6627450980392157,0.27450980392156865
21,mutant_1_117-120.tif,16,2,4,1258,0.47796065962155926,0.6823529411764706,0.30196078431372547
22,mutant_1_117-120.tif,24,3,6,2143,0.4335135827546137,0.6431372549019607,0.23529411764705882
23,mutant_1_117-120.tif,19,3,1,1477,0.46463286736495546,0.6392156862745098,0.28627450980392155
24,mutant_1_117-120.tif,22,3,4,2440,0.4213966570234651,0.6627450980392157,0.196078431372549
25,mutant_1_117-120.tif,20,3,2,1957,0.4303746230224333,0.6588235294117647,0.25098039215686274
26,mutant_1_117-120.tif,23,3,5,2048,0.44883578431372545,0.6666666666666666,0.2823529411764706
27,mutant_1_117-120.tif,21,3,3,1525,0.43214143362262936,0.6549019607843137,0.23137254901960785
29,mutant_1_117-120.tif,27,4,3,2487,0.44556714523364627,0.6352941176470588,0.23921568627450981
30,mutant_1_117-120.tif,29,4,5,1630,0.42628653915553955,0.6470588235294118,0.21568627450980393
31,mutant_1_117-120.tif,30,4,6,1951,0.4258771268630466,0.6509803921568628,0.24313725490196078
32,mutant_1_117-120.tif,26,4,2,2105,0.4429118345675563,0.6274509803921569,0.25098039215686274
33,mutant_1_117-120.tif,25,4,1,2313,0.38762832413553405,0.6078431372549019,0.22352941176470587
34,mutant_1_117-120.tif,28,4,4,1500,0.44482614379084967,0.6431372549019607,0.22745098039215686
